SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
2542,2,0.3,24,15,0.015,0,0,0,0.8,0.079,9,0.123,1.27,0.2,0.07,9.49,10,18.6,21.4,12.9,28,0.21,29,1,4,14.5,1,1
2545,2,0.8,36,15,0.028,0,0,0,0.198,0.101,8,0.2,2.1,0.57,0.1,11.28,10.8,27.6,31.1,27,35,7.163,40,4,5,14.5,1,1
2546,1,0.5,24,15,0.025,0,0,0,0.06,0.057,16,0.085,1.005,0.352,0.068,6,11.4,0,0,0,37,2.045,34,0,4,15,1,1
2547,1,0.8,36,14,0.028,0,0,0,0.569,0.055,5,0.025,1.723,0.751,0.127,9.125,7.3,50,34.1,27.2,32,4.237,37,3,5,13.5,1,1
2548,1,0.3,24,15,0.015,0,0,0,0.137,0.03,6,0.025,0.464,0.043,0.003,3.847,9.3,49.3,59.4,45,32,4.202,44,3,4,13,1,1
2549,1,0.8,36,14,0.028,0,0,0,0.639,0.062,11,0.053,2.903,0.849,0.335,11.645,6.4,45.2,23.4,19.5,-5,9.291,37,3,4,15.5,1,1
2550,2,0.5,24,15,0.025,0,0,0,0.133,0.064,0,0.2,0.52,0.138,0.035,4.1,18.7,15.4,32.1,20.9,46,18.85,39,11,5,13,1,1
2551,1,0.2,24,15,0.01,0,0,0,0.085,0.049,8,0.1,0.57,0.03,0.02,0.85,69.4,19.9,34.5,26.1,25,1.415,49,7,0,6.5,1,1
2554,1,0.6,36,15,0.021,0,0,0,0.268,0.07,13,0.1,1.819,0.378,0.186,7.499,11.2,30,29.8,25.2,26,0,36,3,3,12.5,1,1
2555,1,0.6,24,15,0.029,0,0,0,0.266,0.122,9,0.2,2.273,1.16,0.285,13.536,10.8,24,19.1,16.6,45,20.921,30,8,4,15,1,1
2557,2,0.6,30,9,0.023,0,0,0,0.282,0.205,5,0.1,4.668,0.205,0.032,22.432,11,11,12.4,11.5,24,20.567,37,12,3,10,0,0
2558,2,0.8,9,15,0.01,0,0,0,0.185,0.064,11,0.05,1.3,0.831,0.38,12.035,6.4,15.7,45.7,40.3,33,11.5,35,8,3,14.5,1,1
