SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
"7,317",2,0.800,36,12,0.027,0,0,0,0.45,0.16,9,0.1,2.485,0.05,0.04,9.445,20.3,16.7,32.1,26.3,55,30.845,35,3,4,15.500,1,1
"7,318",1,0.700,36,13,0.024,0,0,0,0.306,0.13,16,0.05,1.497,0.305,0.141,7.104,22,18.3,42.1,34.7,40,9.955,34,5,4,15,1,1
"7,319",2,2,36,14,0.069,1.8,0.722,0.103,0.362,0.369,13,0.1,5.901,5.894,2.183,38.181,11.6,10.6,1.4,1.3,37,40.23,46,13,2,7,1,1
"7,320",1,0.500,24,8.500,0.023,0,0,0,0.09,0.067,7,0.05,0.7,0.2,0,5.5,14.6,34.2,55.6,48.1,39,5.92,42,6,4,14.500,1,1
"7,321",1,0.500,24,14,0.024,0,0,0,0.1,0.053,21,0.2,0.45,0.24,0.12,4.25,15,45.8,87.7,57.5,57,3.47,33,2,5,13.500,1,1
"7,322",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,323",1,0.300,24,14,0.015,0,0,0,0.08,0.048,9,0.01,0.4,0.1,0,4.2,13.8,30.2,60,50.9,37,2.58,36,6,4,14,1,1
"7,324",2,0.500,8,12,0.005,0,0,0,1.58,0.1,9,0.5,2.11,0.78,0.02,9.065,13.3,5,17.4,10.1,29,10.6,39,4,2,15.500,1,1
"7,325",2,0.500,9,14,0.006,0,0,0,0.425,0.183,6,0.1,3.5,4,0.1,15.776,13.9,3.2,6.8,6.3,39,9.7,37,21,3,15.500,1,0
"7,326",2,0.800,15,14,0.012,0,0,0,0.475,0.066,14,0.45,1.59,0.721,0.23,9.204,8.6,36.3,38.4,26.6,35,24.143,33,16,2,15,1,1
"7,327",1,0.250,24,12,0.012,0,0,0,0.175,0.032,4,0.05,0.42,0.025,0.01,2.25,16.8,37.7,57.5,37.9,36,1.97,40,2,3,12.500,1,1
"7,328",1,0.600,24,14,0.029,0,0,0,0.15,0.051,10,0.1,1.45,0.87,0.45,5.24,11.7,56.8,32.1,28.3,31,2.27,41,6,4,14.500,1,1
"7,329",2,0.800,36,12,0.027,0,0,0,0.4,0.1,6,0.12,1.5,0.036,0.015,9.08,13.2,26.8,52.6,39.2,31,5.35,38,5,2,14.500,1,1
"7,330",2,0.300,24,14,0.015,0,0,0,0.376,0.057,9,0.105,1.099,0.241,0.018,6.267,10.9,25.7,22.7,16.6,30,5.451,29,5,4,14.500,1,1
"7,331",2,0.600,36,12,0.02,0,0,0,0.21,0.044,7,0.05,0.89,0.311,0.105,8.757,6,30.7,54.8,44.3,29,2.305,39,1,3,14,1,1
